Pi_Time,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPellet_Retrieval_Time,Poke_Time
2021-08-10T22:19:58.396667,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,51,0,0,0,nan,nan,1.58
2021-08-10T22:19:58.784165,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,52,0,0,0,nan,nan,1.61
2021-08-10T22:19:59.143963,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,53,0,0,0,nan,nan,1.66
2021-08-10T22:19:59.514906,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,54,0,0,0,nan,nan,1.21
2021-08-10T22:19:59.884457,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,55,0,0,0,nan,nan,1.91
2021-08-10T22:20:00.234246,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,56,0,0,0,nan,nan,0.58
2021-08-10T22:20:00.592219,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,57,0,0,0,nan,nan,0.45
2021-08-10T22:20:00.939771,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,58,0,0,0,nan,nan,2.00
2021-08-10T22:20:01.281566,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,59,0,0,0,nan,nan,1.84
2021-08-10T22:20:01.635516,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,60,0,0,0,nan,nan,0.82
2021-08-10T22:20:01.994273,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,61,0,0,0,nan,nan,0.85
2021-08-10T22:20:02.345831,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,62,0,0,0,nan,nan,0.41
2021-08-10T22:20:02.689632,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,63,0,0,0,nan,nan,1.59
